drink_id,drink_name,description,isFrozen;
1,casa margarita,Made with El Jimador Reposado 100% Blue Agave tequila ,1;
2,casa margarita,Made with El Jimador Reposado 100% Blue Agave tequila,0;
3,barrio paloma,"Cazadores Reposado, fresh lime juice, grapefruit, agave nectar",0;
4,burnin&#39 thyme,"Espolon Reposado, Del Maguey Vida, agave nectar, mango, fresh thyme",0;
5,coco loco,"Patron Silver, Cointreau, agave nectar, lime, coconut water, ginger sugar rim",0;
6,freaky tiki,"Jalapeno-infused El Jimador Blanco, Triple Sec, passionfruit, pineapple, house sour mix, chili-lime salt rim, jalapeno",0;
7,margarita perfecto,"Avion Silver, Dry orange Curacao, fresh squeezed lime juice, Agave nectar, Grand Marnier float",0;
8,marigold,"Cazadores Reposado, Cointreau, strawberry-pear puree, lemonade",0;
9,pink pomelo,"El Jimador Blanco, Luxardo Liqueur, grapefruit juice, fresh lime juice, Demerara, Luxardo cherry",0;
10,skinny skeleton,"Corazon Blanco, Triple sec, fresh lime juice, soda",0;
11,tecate-rita,"Tecate + house margarita + salt",0;
12,the empress,"Corazon Blanco, Stirrings Ginger Liqueur, lychee puree, house sour mix, ginger sugar rim, orange",0;
13,the sassy pineapple,"Pineapple-infused Avion Silver, house made morita syrup, fresh citrus juices",0;
14,house margarita,"100% agave Altos reposado, Patron Citronge, muddle orange, simple syrup, lime juice and a splash of soda",0;
15,grapefruit margarita,"house recipe with Altos blanco, grapefruit juice.",0;
16,blackberry margarita,"house recipe with Altos blanco, muddled blackberries",0;
17,strawberry margarita,"Altos blanco, Patron Citronage, house made pure strawberry puree, lime juice, and a splash of soda",0;
18,mango margarita,"Altos blanco, Patron Citronage, house made pure mango puree, lime juice, and a splash of soda",0;
19,habanero margarita,"House infused habanero reposado, Patron Citronge, muddled orange, simple syrup, lime juice, a splash of soda.",0;
20,pineapple habanero margarita,"House infused habanero reposado, Patron Citronge, muddled orange, simple syrup, lime juice, pineapple juice, a splash of soda.",0;
21,cla&#769sico lime,"Standard lime",0;
22,spicy mango,"classic base with mango and habanero",0;
23,cucumber,"classic base with cucumber",0;
24,pineapple,"classic base with pineapple",0;
25,honey ginger,"classic base with honey and ginger",0;
26,honey ginger,"classic base with honey and ginger",0;
27,blood orange,"classic base with blood orange",0;
28,seasonal chamoy,"seasonally available, classic base with chamoy sauce",0;
29,pomegranate,"classic base with pomegranate",0;
30,hibiscus,"classic base with hibiscus",0;
31,craft margarita,"choice of tequila, gran gala, orange liqueur, house sour.",0;
32,mamitas seltzer," 12oz can tequila + soda [gf]  choose: mango, pineapple, lime or grapefruit",0;
33,watermelon habanero,"Freshly muddled watermelon, lime, tequila",0;
34,pineapple habanero,"Muddled fresh pineapple, lime, tequila",0;
35,blood orange,"Freshly squeezed blood orange, lime, and tequila",0;
36,berry mint,"Muddled fresh blackberry, raspberry or strawberry, mint, squeezed fruits, tequila",0;
37,passionfruit,"Muddled fresh passionfruit, lime tequila",0;
38,spicy cilantro,"Jalapeño, cilantro, squeezed fruit, tequila",0;
39,cucumber,"Muddled fresh cucumber, squeezed fruit, tequila",0;
40,ginger,"Organic fresh ginger, squeezed fruit, tequila",0;
41,prickly Pear,"Prickly pear, squeezed fruit, tequila",0;
42,top shelf,"Freshly squeezed fruits, 1800 silver tequila",0;
43,coco loco,"Rumchata, tequila, agave, coconut cream",0;
44,spicy mango,"Frozen mango margarita, chamoy, spicy sauce, tajin rim",0;
45,octopus,"Homemade sangria, frozen lime margarita",0;
46,lime,"Classic lime margarita, frozen or on the rocks",0;
47,cadillac,"Classic margarita, reposado tequila, orange liqueur",0;
48,margarita,"Tres Agaves Reposado tequila and Cointreau shaken with our house sour mix",0;
49,johnny's classic,"The traditional Mexican Margarita made with fresh lemon and lime juices.",0;
50,the napoleon,"Forget the Martini! Cazadores Reposado, Grand Marnier and Cointreau served straight-up and chilled.",0;
51,the el diablo,"Vodka, Grand Marnier, Silver and Gold Tequila...it's the Devil's favorite!",0;
52,mango,"Tres Agaves Reposado tequila and Cointreau with mango",0;
53,peach,"Tres Agaves Reposado tequila and Cointreau with peach",0;
54,pineapple,"Tres Agaves Reposado tequila and Cointreau with pineapple",0;
55,strawberry,"Tres Agaves Reposado tequila and Cointreau with strawberry",0;
56,raspberry,"Tres Agaves Reposado tequila and Cointreau with raspberry",0;
57,pomegranate,"Tres Agaves Reposado tequila and Cointreau with pomegranate",0;
58,mint mango,"Tres Agaves Reposado tequila and Cointreau with mint and mango",0;
59,grapefruit,"Tres Agaves Reposado tequila and Cointreau with grapefruit",0;
60,jalapen&#771o cilantro,"Tres Agaves Reposado tequila and Cointreau with jalepeno and cilantro",0;
61,cucumber,"Tres Agaves Reposado tequila and Cointreau with cucumber",0;